Element Type,Element Name,Description,Identifier,Data Type
Type,GraphQL::Types::Boolean,Represents `true` or `false` values.,Type: GraphQL::Types::Boolean,N/A
Type,GraphQL::Types::String,Represents textual data as UTF-8 character sequences. This type is most often used by GraphQL to represent free-form human-readable text.,Type: GraphQL::Types::String,N/A
Type,,"An Amazon Web Services Amazon Resource Name (ARN), including the Region and account ID.
For more information, refer to [Amazon Resource Names](https://docs.aws.amazon.com/general/latest/gr/aws-arns-and-namespaces.html).",Type: ,N/A
Type,,A checkout that was abandoned by the customer.,Type: ,N/A
Field,abandonedCheckoutUrl,The URL for the buyer to recover their checkout.,"Type: , Field: abandonedCheckoutUrl",#<GraphQL::Schema::NonNull:0x00000001068fcd00>
Field,defaultCursor,"A default cursor that returns the single next record, sorted ascending by ID.
","Type: , Field: defaultCursor",#<GraphQL::Schema::NonNull:0x0000000104737df0>
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x00000001047379e0>
Field,lineItemsQuantity,The number of products in the checkout.,"Type: , Field: lineItemsQuantity",#<GraphQL::Schema::NonNull:0x0000000104737738>
Field,totalPriceSet,"The sum of all items in the checkout, including discounts, shipping, taxes, and tips.
","Type: , Field: totalPriceSet",#<GraphQL::Schema::NonNull:0x00000001068fcbe8>
Type,GraphQL::Types::ID,"Represents a unique identifier that is Base64 obfuscated. It is often used to refetch an object or as key for a cache. The ID type appears in a JSON response as a String; however, it is not intended to be human-readable. When expected as an input type, any string (such as `""VXNlci0xMA==""`) or integer (such as `4`) input value will be accepted as an ID.",Type: GraphQL::Types::ID,N/A
Type,GraphQL::Types::Int,Represents non-fractional signed whole numeric values. Int can represent values between -(2^31) and 2^31 - 1.,Type: GraphQL::Types::Int,N/A
Type,,"A browse, cart, or checkout that was abandoned by a customer.",Type: ,N/A
Field,abandonedCheckoutPayload,The abandonment payload for the abandoned checkout.,"Type: , Field: abandonedCheckoutPayload",#<Class:0x00000001038a42e8>
Field,abandonmentType,The abandonment type.,"Type: , Field: abandonmentType",#<GraphQL::Schema::NonNull:0x00000001068fbf18>
Field,app,The app associated with an abandoned checkout.,"Type: , Field: app",#<GraphQL::Schema::NonNull:0x00000001068fbe28>
Field,cartUrl,Permalink to the cart page.,"Type: , Field: cartUrl",#<Class:0x0000000106516c40>
Field,createdAt,The date and time when the abandonment was created.,"Type: , Field: createdAt",#<GraphQL::Schema::NonNull:0x00000001068fbd38>
Field,customer,The customer who abandoned this event.,"Type: , Field: customer",#<GraphQL::Schema::NonNull:0x00000001068fbc70>
Field,customerHasNoOrderSinceAbandonment,Whether the customer has completed an order since this checkout has been abandoned.,"Type: , Field: customerHasNoOrderSinceAbandonment",#<GraphQL::Schema::NonNull:0x0000000104735438>
Field,daysSinceLastAbandonmentEmail,The number of days since the last abandonment email was sent to the customer.,"Type: , Field: daysSinceLastAbandonmentEmail",#<GraphQL::Schema::NonNull:0x0000000104734fb0>
Field,emailSentAt,"When the email was sent, if that is the case.","Type: , Field: emailSentAt",#<Class:0x0000000100b73d50>
Field,emailState,"The email state (e.g., sent or not sent).","Type: , Field: emailState",#<Class:0x00000001038a2da8>
Field,hoursSinceLastAbandonedCheckout,The number of hours since the customer has last abandoned a checkout.,"Type: , Field: hoursSinceLastAbandonedCheckout",GraphQL::Types::Float
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000104733e80>
Field,inventoryAvailable,Whether the products in abandonment are available.,"Type: , Field: inventoryAvailable",#<GraphQL::Schema::NonNull:0x0000000104733c28>
Field,isFromOnlineStore,Whether the abandonment event comes from the Online Store sales channel.,"Type: , Field: isFromOnlineStore",#<GraphQL::Schema::NonNull:0x00000001047338e0>
Field,isFromShopApp,Whether the abandonment event comes from the Shop app sales channel.,"Type: , Field: isFromShopApp",#<GraphQL::Schema::NonNull:0x00000001047334f8>
Field,isFromShopPay,Whether the abandonment event comes from Shop Pay.,"Type: , Field: isFromShopPay",#<GraphQL::Schema::NonNull:0x0000000104733020>
Field,isMostSignificantAbandonment,Whether the customer did not complete another most significant step since this abandonment.,"Type: , Field: isMostSignificantAbandonment",#<GraphQL::Schema::NonNull:0x0000000104732b48>
Field,lastBrowseAbandonmentDate,The date for the latest browse abandonment.,"Type: , Field: lastBrowseAbandonmentDate",#<GraphQL::Schema::NonNull:0x00000001068fbd38>
Field,lastCartAbandonmentDate,The date for the latest cart abandonment.,"Type: , Field: lastCartAbandonmentDate",#<GraphQL::Schema::NonNull:0x00000001068fbd38>
Field,lastCheckoutAbandonmentDate,The date for the latest checkout abandonment.,"Type: , Field: lastCheckoutAbandonmentDate",#<GraphQL::Schema::NonNull:0x00000001068fbd38>
Field,mostRecentStep,The most recent step type.,"Type: , Field: mostRecentStep",#<GraphQL::Schema::NonNull:0x00000001068fbf18>
