Element Type,Element Name,Description,Identifier,Data Type
Type,GraphQL::Types::Boolean,Represents `true` or `false` values.,Type: GraphQL::Types::Boolean
Type,GraphQL::Types::String,Represents textual data as UTF-8 character sequences. This type is most often used by GraphQL to represent free-form human-readable text.,Type: GraphQL::Types::String
Type,,"An Amazon Web Services Amazon Resource Name (ARN), including the Region and account ID.
For more information, refer to [Amazon Resource Names](https://docs.aws.amazon.com/general/latest/gr/aws-arns-and-namespaces.html).",Type: 
Type,,A checkout that was abandoned by the customer.,Type: 
Field,abandonedCheckoutUrl,The URL for the buyer to recover their checkout.,"Type: , Field: abandonedCheckoutUrl"
Field,defaultCursor,"A default cursor that returns the single next record, sorted ascending by ID.
","Type: , Field: defaultCursor"
Field,id,A globally-unique ID.,"Type: , Field: id"
Field,lineItemsQuantity,The number of products in the checkout.,"Type: , Field: lineItemsQuantity"
Field,totalPriceSet,"The sum of all items in the checkout, including discounts, shipping, taxes, and tips.
","Type: , Field: totalPriceSet"
Type,GraphQL::Types::ID,"Represents a unique identifier that is Base64 obfuscated. It is often used to refetch an object or as key for a cache. The ID type appears in a JSON response as a String; however, it is not intended to be human-readable. When expected as an input type, any string (such as `""VXNlci0xMA==""`) or integer (such as `4`) input value will be accepted as an ID.",Type: GraphQL::Types::ID
Type,GraphQL::Types::Int,Represents non-fractional signed whole numeric values. Int can represent values between -(2^31) and 2^31 - 1.,Type: GraphQL::Types::Int
Type,,"A browse, cart, or checkout that was abandoned by a customer.",Type: 
Field,abandonedCheckoutPayload,The abandonment payload for the abandoned checkout.,"Type: , Field: abandonedCheckoutPayload"
Field,abandonmentType,The abandonment type.,"Type: , Field: abandonmentType"
Field,app,The app associated with an abandoned checkout.,"Type: , Field: app"
Field,cartUrl,Permalink to the cart page.,"Type: , Field: cartUrl"
Field,createdAt,The date and time when the abandonment was created.,"Type: , Field: createdAt"
Field,customer,The customer who abandoned this event.,"Type: , Field: customer"
Field,customerHasNoOrderSinceAbandonment,Whether the customer has completed an order since this checkout has been abandoned.,"Type: , Field: customerHasNoOrderSinceAbandonment"
Field,daysSinceLastAbandonmentEmail,The number of days since the last abandonment email was sent to the customer.,"Type: , Field: daysSinceLastAbandonmentEmail"
Field,emailSentAt,"When the email was sent, if that is the case.","Type: , Field: emailSentAt"
Field,emailState,"The email state (e.g., sent or not sent).","Type: , Field: emailState"
Field,hoursSinceLastAbandonedCheckout,The number of hours since the customer has last abandoned a checkout.,"Type: , Field: hoursSinceLastAbandonedCheckout"
Field,id,A globally-unique ID.,"Type: , Field: id"
Field,inventoryAvailable,Whether the products in abandonment are available.,"Type: , Field: inventoryAvailable"
Field,isFromOnlineStore,Whether the abandonment event comes from the Online Store sales channel.,"Type: , Field: isFromOnlineStore"
Field,isFromShopApp,Whether the abandonment event comes from the Shop app sales channel.,"Type: , Field: isFromShopApp"
Field,isFromShopPay,Whether the abandonment event comes from Shop Pay.,"Type: , Field: isFromShopPay"
Field,isMostSignificantAbandonment,Whether the customer did not complete another most significant step since this abandonment.,"Type: , Field: isMostSignificantAbandonment"
Field,lastBrowseAbandonmentDate,The date for the latest browse abandonment.,"Type: , Field: lastBrowseAbandonmentDate"
Field,lastCartAbandonmentDate,The date for the latest cart abandonment.,"Type: , Field: lastCartAbandonmentDate"
Field,lastCheckoutAbandonmentDate,The date for the latest checkout abandonment.,"Type: , Field: lastCheckoutAbandonmentDate"
Field,mostRecentStep,The most recent step type.,"Type: , Field: mostRecentStep"
Field,productsAddedToCart,The products added to the cart during the customer abandoned visit.,"Type: , Field: productsAddedToCart"
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: productsAddedToCart, Argument: first"
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: productsAddedToCart, Argument: after"
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: productsAddedToCart, Argument: last"
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: productsAddedToCart, Argument: before"
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: productsAddedToCart, Argument: reverse"
Field,productsViewed,The products viewed during the customer abandoned visit.,"Type: , Field: productsViewed"
Argument,first,Returns up to the first `n` elements from the list.,"Type: , Field: productsViewed, Argument: first"
Argument,after,Returns the elements that come after the specified cursor.,"Type: , Field: productsViewed, Argument: after"
Argument,last,Returns up to the last `n` elements from the list.,"Type: , Field: productsViewed, Argument: last"
Argument,before,Returns the elements that come before the specified cursor.,"Type: , Field: productsViewed, Argument: before"
Argument,reverse,Reverse the order of the underlying list.,"Type: , Field: productsViewed, Argument: reverse"
Field,visitStartedAt,The date and time when the visit started.,"Type: , Field: visitStartedAt"
Type,GraphQL::Types::Float,Represents signed double-precision fractional values as specified by [IEEE 754](https://en.wikipedia.org/wiki/IEEE_floating_point).,Type: GraphQL::Types::Float
Type,,Specifies the abandonment type.,Type: 
Enum Value,BROWSE,The abandonment event is an abandoned browse.,"Type: , Enum Value: BROWSE"
Enum Value,CART,The abandonment event is an abandoned cart.,"Type: , Enum Value: CART"
Enum Value,CHECKOUT,The abandonment event is an abandoned checkout.,"Type: , Enum Value: CHECKOUT"
Type,,Specifies the delivery state of a marketing activity.,Type: 
Enum Value,NOT_SENT,The marketing activity action has not yet been sent.,"Type: , Enum Value: NOT_SENT"
Enum Value,SENT,The marketing activity action has been sent.,"Type: , Enum Value: SENT"
Enum Value,SCHEDULED,The marketing activity action has been scheduled for later delivery.,"Type: , Enum Value: SCHEDULED"
Type,,Specifies the email state.,Type: 
Enum Value,NOT_SENT,The email has not yet been sent.,"Type: , Enum Value: NOT_SENT"
Enum Value,SENT,The email has been sent.,"Type: , Enum Value: SENT"
Enum Value,SCHEDULED,The email has been scheduled for later delivery.,"Type: , Enum Value: SCHEDULED"
Type,,Return type for `abandonmentEmailStateUpdate` mutation.,Type: 
Field,abandonment,The updated abandonment.,"Type: , Field: abandonment"
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors"
Type,,An error that occurs during the execution of `AbandonmentEmailStateUpdate`.,Type: 
Field,code,The error code.,"Type: , Field: code"
Field,field,The path to the input field that caused the error.,"Type: , Field: field"
Field,message,The error message.,"Type: , Field: message"
